word,is_name
서둘다,0
주예설,1
하유진,1
빙유선,1
피망,0
무복지상,0
석민서,1
보스라기,0
진해나,1
이다민,1
섭윤재,1
의리,0
회동그스름,0
맹모삼천지교,0
몽혜,0
루시페린,0
오하엘,1
아풀레이우스,0
궁석원,1
현리안,1
나다온,1
풍석준,1
위주훈,1
오드콜로뉴,0
은희영,1
관흡,0
표락,0
주유승,1
윤미영,1
순나리,1
코넌트,0
쇠락,0
원하성,1
우수인,1
영희윤,1
후재원,1
노유주,1
육악,0
샬랴핀,0
심예림,1
솔로비요프,0
황환희,1
전타,0
탕경빈,1
새옹지마,0
글루코오스,0
해론,0
방성연,1
호작,0
양아린,1
엄원,1
원희진,1
기제킹,0
예원우,1
글로비게리나,0
손유솔,1
지선후,1
총동균,1
증혐,0
자호수,1
권착,0
파사사다,0
티후아나,0
가우하티,0
양은수,1
얼속,0
사윤빈,1
려지승,1
출두천,0
봉훈,0
롱샹,0
양세현,1
진건하,1
서시형,1
빈해윤,1
백상은,1
보르르,0
곽유호,1
하야말쑥,0
허스키,0
동지언,1
차현서,1
스라소니,0
활불,0
탈환,0
구건휘,1
조승후,1
뜨뜻미지근,0
작중,0
레지에로,0
서차,0
소약,0
운편,0
야등,0
순리현,1
금곤복거,0
살롱,0
석은경,1
양한아,1
방율하,1
반세화,1
잔박,0
모상혁,1
윤세림,1
수가예,1
마한,0
기성혁,1
귀작,0
라건영,1
목안,0
위세연,1
위제민,1
보다솔,1
추영미,1
배세이,1
경란,0
곽채원,1
범지,0
강채하,1
노준민,1
백유솔,1
셰필드,0
울랑국,0
이한빛,1
휴즈,0
서율하,1
진설,1
염수현,1
조규호,1
강현아,1
처분,0
변식,0
훤,0
하래,0
재무,0
시소이,1
가우디,0
용가,0
삼리은,1
림세인,1
로다민,1
서연수,1
금솔희,1
훈부,0
배선후,1
소은수,1
결생,0
은건형,1
패령,0
천세라,1
짜뜰름,0
캄필리,0
반휴,0
온원영,1
진유원,1
가준식,1
아파르트헤이트,0
어엿,0
복대기다,0
흔연스레,0
신종호,1
묵살,0
권단,1
툭배기,0
압침,0
기민섭,1
로혜정,1
방병찬,1
정중관천,0
주지윤,1
낭찬,1
돈해담,1
시서안,1
칠규,0
찬조,0
이병훈,1
촌양,0
야거,0
반판,0
알파카,0
빗세우다,0
정도빈,1
푸리,0
신수아,1
한한울,1
변범석,1
호액,0
형동민,1
독수민,1
서음,0
커뮤널리즘,0
외소,0
잔미,0
가이세리크,0
카시키스모,0
폭질,0
용규빈,1
표나윤,1
변량,0
풍노아,1
지선규,1
착천,0
방총,0
풍도유,1
한테,0
쌍스레,0
조소리,1
주송이,1
포트엘리자베스,0
점몽,0
호지오,1
야박스레,0
성주찬,1
비아냥,0
신세진,1
황려은,1
슬뤼터르,0
설괴,0
양유린,1
안한별,1
망오,0
역참,0
어치정,0
근교은,1
결번,0
예단비,1
여초,0
고승운,1
독옹,0
치록,0
빙승미,1
유경은,1
라드,0
채루하,1
돈재훈,1
스쿠너,0
본양,0
탕지원,1
무상지도,0
백동건,1
장동주,1
페어웨이,0
아콰마린,0
리해온,1
호해담,1
순세림,1
낭철,0
이굴,0
북마,0
노연아,1
방우재,1
각생,0
시닝,0
철겅,0
사뭇,0
고현주,1
곡우주,1
황은설,1
박은별,1
손찬이,1
삼태은,1
빈나원,1
옹유아,1
데그럭,0
앤섬,0
생회,0
난동혁,1
음읍,0
타임셰어링,0
졸본,0
로프트,0
마그레브,0
애시하,1
전색,0
간리원,1
심진영,1
길효빈,1
산략,0
설편,0
근년,0
국윤환,1
전내,0
엽기쁨,1
완동,0
귀비,0
후다나,1
입숙,0
하현빈,1
도미진,1
음택,0
품격,0
황취,0
설이랑,1
사반공배,0
규방,0
설은샘,1
시진현,1
