,word,is_name
922,동솔,1
5022,찍히다,0
349,진성훈,1
3525,어쨌든,0
2316,보편적,0
3649,진도형,1
1486,채가람,1
950,나타나다,0
1550,등산,0
5448,나현준,1
5333,장강후,1
4795,주전자,0
5021,은민주,1
5242,림현호,1
2187,원다원,1
3747,옛,0
4235,일상,0
1844,몇,0
3799,진예본,1
5577,유태인,1
2622,사회생활,0
2383,부인,0
434,여종현,1
4861,증거,0
1628,뛰어오르다,0
1398,선신혜,1
4351,자장면,0
880,꼽히다,0
2192,진유찬,1
119,채루하,1
843,어주안,1
4122,이사,0
2991,수영,0
5776,연석훈,1
3120,시작하다,0
571,옥정아,1
5310,부창희,1
2594,노하라,1
618,그,0
2572,두세빈,1
1776,손경환,1
3559,임태환,1
1932,무섭다,0
5520,편의점,0
1019,내쉬다,0
3234,심각하다,0
2288,윤루리,1
1792,서루이,1
1426,계종원,1
4363,작성,0
1255,담당,0
5859,민한빈,1
2690,상추,0
2178,방향,0
310,경제적,0
264,예인찬,1
3146,식사하다,0
1827,면,0
3698,영웅,0
3452,어동주,1
4411,윤지향,1
160,좌태양,1
3774,고도예,1
2005,편선욱,1
5467,아유리,1
3614,여전히,0
112,양유린,1
77,각각,0
3501,어떻다,0
3166,신랑,0
1297,대단히,0
5405,텍스트,0
4561,전하다,0
3241,비가린,1
1144,뉴스,0
5530,방현준,1
2225,번호,0
3197,실,0
5032,차다,0
3678,열쇠,0
2056,바로,0
2167,방송사,0
4429,장모님,0
4958,진진석,1
1087,주규빈,1
3532,어찌,0
3403,견성윤,1
4174,인,0
5190,증명재,1
3459,얄밉다,0
1446,동서,0
5385,태풍,0
379,고통스럽다,0
5587,길정욱,1
1244,달리다,0
3675,홍수화,1
3935,웃음소리,0
195,객관적,0
2993,심용주,1
2867,소,0
3533,어찌나,0
1507,뒤집다,0
46,조승후,1
3559,엄숙하다,0
5038,차리다,0
3111,금다운,1
876,엄채정,1
3079,도보현,1
3475,신제이,1
4715,강다교,1
1119,관준아,1
3006,수출하다,0
1602,노시언,1
976,송서형,1
494,조아림,1
2882,돈아람,1
4402,잠자리,0
418,공부하다,0
1121,서미영,1
1511,서리연,1
5355,키스,0
5685,한마디,0
2495,비빔밥,0
2032,호혜진,1
227,건너가다,0
5054,참,0
4929,지점,0
1949,동채환,1
3235,창혜빈,1
3810,도희서,1
808,기초적,0
5018,봉미송,1
77,금솔희,1
1325,대중적,0
888,꾸다,0
3936,순연이,1
2933,형진아,1
2775,오효담,1
641,그래서,0
4554,우준형,1
1136,호가언,1
3552,얼마,0
3530,어쩐지,0
597,견원,1
1622,심태온,1
5994,오도혁,1
4927,지적되다,0
2319,보호되다,0
2295,인강인,1
4534,전문,0
5664,기서은,1
231,건넌방,0
5457,특징,0
4891,지니다,0
1165,이다흰,1
1098,놀라다,0
2206,뱀,0
1332,우리우,1
4246,일월,0
3462,양,0
3705,영화,0
3057,배소피아,1
906,끌다,0
2279,무정후,1
5119,담종하,1
5248,충돌하다,0
4057,의자,0
216,추강혁,1
4458,종서유,1
805,배혜율,1
561,국내외,0
4369,상엘리,1
5338,손상희,1
2412,분,0
277,진병현,1
3137,석주하,1
3048,스물,0
2492,비밀,0
2044,바나나,0
419,려태강,1
4019,동바다,1
392,골,0
3280,구혜영,1
1692,원한희,1
1156,늘어서다,0
1310,대사,0
2045,탁지온,1
3278,쓰러지다,0
4029,장태양,1
763,기대하다,0
341,아승원,1
4909,지붕,0
5380,태아,0
1501,빈준민,1
657,예호연,1
4777,낭재휘,1
5769,향기,0
5655,순수지,1
3610,여유,0
3364,악몽,0
4669,표율아,1
5370,탁구,0
1387,도로,0
242,건지다,0
2481,홍예리,1
329,계속하다,0
3613,빈대영,1
945,나아지다,0
389,곧이어,0
5322,코끝,0
4273,임신,0
2073,박물관,0
2022,민주주의,0
566,하세민,1
1462,동화,0
2612,유주혜,1
5222,출국,0
5913,후배,0
3898,우승하다,0
5723,위연희,1
2306,노현제,1
956,낚싯대,0
3522,어젯밤,0
475,관리,0
5196,장찬웅,1
1857,승장우,1
635,편예준,1
2778,선물하다,0
4090,이래,0
963,날씨,0
1640,부미나,1
5873,환경오염,0
2921,속담,0
3893,우산,0
3518,우현민,1
2591,조선영,1
4048,변형석,1
2291,보도하다,0
4518,전공,0
1414,독일,0
4867,지,0
5018,찌다,0
3334,아버님,0
4327,창창민,1
3437,시태산,1
4664,노화랑,1
5253,오진명,1
1991,미,0
5250,충분히,0
1793,양민용,1
4434,홍예온,1
707,근무,0
562,만명지,1
1615,전상미,1
3580,엔진,0
4187,인분,0
3686,미유아,1
1903,남은상,1
4416,장군,0
473,관련되다,0
5129,빈솜,1
3796,보무빈,1
4789,권연서,1
4591,정무성,1
5375,현재하,1
1578,땅바닥,0
3697,영역,0
5069,예유준,1
4924,국미지,1
3221,실천하다,0
924,한서온,1
5633,하얀색,0
3205,여소혜,1
1831,면접,0
1629,소라영,1
2105,장소원,1
1673,마련하다,0
2919,신도우,1
5736,양수원,1
3743,예정,0
1213,정예담,1
741,급히,0
3500,곡솔미,1
597,권리,0
5635,오서유,1
155,기혜성,1
4528,부우성,1
3479,빙소정,1
4790,부상헌,1
3987,권인애,1
5195,보진호,1
5420,순윤규,1
5595,피로하다,0
422,공업,0
3064,소지유,1
1283,대,0
3044,쉽다,0
2145,우현석,1
3920,배나나,1
898,남우경,1
5781,허허,0
1798,머무르다,0
5765,이희지,1
5456,특정하다,0
3055,해해빈,1
5402,테스트,0
4420,섭상아,1
4468,사이나,1
5942,마동윤,1
3230,위정혁,1
5552,폭,0
144,후다나,1
3116,상은재,1
4588,이서우,1
4350,자율,0
1993,단민욱,1
1114,수보윤,1
1482,길태리,1
4784,이민범,1
2748,서로,0
1219,금이도,1
3425,동가희,1
4546,성유온,1
2050,바라다,0
125,감상,0
5254,취소하다,0
5204,추가하다,0
331,최율,1
5918,빈이준,1
3609,여우,0
5141,청소하다,0
3988,유리창,0
1538,듯,0
4501,민송하,1
3682,열차,0
4658,제도적,0
5591,피곤하다,0
2725,생물,0
4536,전문적,0
5501,빈지해,1
698,극장,0
2415,조린,1
2987,홍나영,1
1189,삼규민,1
1013,내려지다,0
5862,부미나,1
2684,조하령,1
550,구조,0
2060,사태경,1
3379,안다,0
5275,치우다,0
1074,노래,0
3948,월,0
1671,당찬서,1
3473,양상추,0
1669,마라톤,0
4648,주요엘,1
1612,뚜껑,0
3658,연습,0
5550,포함되다,0
2286,보다,0
314,설범진,1
2627,사흘,0
940,나비,0
2354,소창우,1
2330,주태성,1
4441,우원찬,1
2940,손수건,0
5379,노태준,1
5457,소린하,1
5524,펼쳐지다,0
2215,버터,0
5243,하봄,1
3926,이은별,1
3560,소예정,1
514,교직,0
295,매선규,1
4677,정민설,1
5953,희망하다,0
1442,동물,0
5362,타다,0
2056,도유하,1
1948,설경모,1
4667,임별,1
4254,일주일,0
4075,이끌다,0
857,깨다,0
3711,옆방,0
2902,신루나,1
445,과,0
4035,응답하다,0
1161,양원호,1
3612,여자,0
4935,성랑,1
1038,너머,0
2959,쇠고기,0
482,여태이,1
1,가격,0
3245,정하니,1
213,거절하다,0
4383,잘못,0
3556,가승한,1
3608,고강현,1
1910,노다니엘,1
5109,처벌,0
1841,명칭,0
2512,비하다,0
4274,임신부,0
1590,떠나오다,0
1971,장호원,1
425,대조이,1
3829,왕비,0
1275,지래원,1
5375,탈출하다,0
5142,청춘,0
869,단유희,1
5425,송소운,1
1958,문제되다,0
4146,이월,0
4986,집다,0
4797,주차,0
5705,우도연,1
5896,회원,0
410,공공,0
5425,통일,0
3513,어머,0
222,길진희,1
4968,리건웅,1
